# train_accs, valid_accs, test_accs, fidelity
9.333333373069763184e-01 6.562500000000000000e-01 7.708333134651184082e-01 0.000000000000000000e+00
9.916666746139526367e-01 9.375000000000000000e-01 8.750000000000000000e-01 1.000000000000000000e+00
9.333333373069763184e-01 6.562500000000000000e-01 8.750000000000000000e-01 1.000000000000000000e+00
9.333333373069763184e-01 8.125000000000000000e-01 9.375000000000000000e-01 1.000000000000000000e+00
8.166666626930236816e-01 8.437500000000000000e-01 8.333333134651184082e-01 1.000000000000000000e+00
9.583333134651184082e-01 8.750000000000000000e-01 9.375000000000000000e-01 0.000000000000000000e+00
9.666666388511657715e-01 8.750000000000000000e-01 9.166666865348815918e-01 0.000000000000000000e+00
9.750000238418579102e-01 8.750000000000000000e-01 8.333333134651184082e-01 1.000000000000000000e+00
9.583333134651184082e-01 8.750000000000000000e-01 8.541666865348815918e-01 1.000000000000000000e+00
9.833333492279052734e-01 9.687500000000000000e-01 9.375000000000000000e-01 1.000000000000000000e+00
9.750000238418579102e-01 9.062500000000000000e-01 8.750000000000000000e-01 1.000000000000000000e+00
1.000000000000000000e+00 9.375000000000000000e-01 9.375000000000000000e-01 1.000000000000000000e+00
8.833333253860473633e-01 7.812500000000000000e-01 8.125000000000000000e-01 0.000000000000000000e+00
9.333333373069763184e-01 8.125000000000000000e-01 8.750000000000000000e-01 0.000000000000000000e+00
9.833333492279052734e-01 8.750000000000000000e-01 8.958333134651184082e-01 1.000000000000000000e+00
9.499999880790710449e-01 9.687500000000000000e-01 9.375000000000000000e-01 1.000000000000000000e+00
9.333333373069763184e-01 8.750000000000000000e-01 9.583333134651184082e-01 0.000000000000000000e+00
8.416666388511657715e-01 8.437500000000000000e-01 7.708333134651184082e-01 1.000000000000000000e+00
9.750000238418579102e-01 8.125000000000000000e-01 9.166666865348815918e-01 1.000000000000000000e+00
9.750000238418579102e-01 9.062500000000000000e-01 9.375000000000000000e-01 1.000000000000000000e+00
9.750000238418579102e-01 8.125000000000000000e-01 9.583333134651184082e-01 0.000000000000000000e+00
9.250000119209289551e-01 8.750000000000000000e-01 9.166666865348815918e-01 1.000000000000000000e+00
9.166666865348815918e-01 8.750000000000000000e-01 8.125000000000000000e-01 0.000000000000000000e+00
9.750000238418579102e-01 8.750000000000000000e-01 8.958333134651184082e-01 0.000000000000000000e+00
8.750000000000000000e-01 7.812500000000000000e-01 7.916666865348815918e-01 1.000000000000000000e+00
9.666666388511657715e-01 8.437500000000000000e-01 8.750000000000000000e-01 0.000000000000000000e+00
